Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Piper PA-12,General,VMC,Cruise,Substantial,33
Cessna 150G,General,VMC,Takeoff,Substantial,33
Cessna 177,General,VMC,Takeoff,Substantial,32
Cessna 150L,Human Error,VMC,Unknown,Substantial,32
Cessna 182,General,VMC,Approach,Substantial,32
Cessna 172M,General,VMC,Maneuvering,Substantial,32
Piper PA-30,Human Error,VMC,Unknown,Substantial,32
Cessna T188C,General,VMC,Maneuvering,Substantial,32
Cessna 180K,General,VMC,Landing,Substantial,32
Cessna 150H,General,VMC,Landing,Substantial,32
Cessna 120,Human Error,VMC,Unknown,Substantial,32
Cessna 150L,General,VMC,Maneuvering,Destroyed,32
Schweizer 269C,Human Error,VMC,Unknown,Substantial,31
Piper PA-24-250,General,VMC,Takeoff,Substantial,31
Piper PA-25-235,General,VMC,Takeoff,Substantial,31
Robinson R22,General,VMC,Maneuvering,Substantial,31
Beech 58,Human Error,VMC,Unknown,Substantial,31
Piper PA-28-181,General,VMC,Takeoff,Substantial,31
Cessna 172P,General,VMC,Taxi,Substantial,31
Cessna 175,General,VMC,Cruise,Substantial,31
Cessna 152,General,VMC,Descent,Substantial,31
Hughes 269C,General,VMC,Landing,Substantial,31
Cessna 305A,General,VMC,Landing,Substantial,30
Piper PA-22-160,General,VMC,Landing,Substantial,30
Cessna 188B,General,VMC,Maneuvering,Substantial,30
Cessna 177B,General,VMC,Landing,Substantial,30
Piper PA28,Unknown,VMC,Unknown,Substantial,30
Cessna 177,General,VMC,Cruise,Substantial,30
Grumman G-164B,General,VMC,Landing,Substantial,30
Cessna 182RG,General,VMC,Landing,Substantial,30
Cirrus SR22,Human Error,VMC,Unknown,Substantial,30
Cessna 172P,General,VMC,Maneuvering,Destroyed,30
Piper PA22,Human Error,VMC,Unknown,Substantial,30
Piper PA-18-150,General,VMC,Maneuvering,Destroyed,30
Cessna 120,General,VMC,Takeoff,Substantial,30
Cessna 180H,General,VMC,Landing,Substantial,30
Cessna 150H,General,VMC,Cruise,Substantial,29
Bellanca 8KCAB,General,VMC,Maneuvering,Destroyed,29
Beech C23,Human Error,VMC,Unknown,Substantial,29
Bell 206,Unknown,UNK,Unknown,Substantial,29
Stinson 108-2,General,VMC,Landing,Substantial,29
Piper PA-28-151,General,VMC,Landing,Substantial,29
